Sector ,Market_Cap,Cagr,Avg_Size,target_user,adoption_rate
SaaS,120000000000.00,0.12,300,500000000,0.3
EV,220000000000.00,0.09,200,300000000,0.3
Health Tech,370000000000.00,0.17,1250,250000000,0.25
EdTech,900000000000.00,0.045,1100,220000000,0.22
FinTech,20000000000.00,0.32,800,120000000,0.17
Gaming,50000000000.00,0.25,600,330000000,0.8
Agritech,330000000000.00,0.12,320,450000000,0.6
Robotics,670000000000.00,0.08,240,770000000,0.3
E-commerce,910000000000.00,0.03,190,220000000,0.3
Q- Commercre,320000000000.00,0.07,77,120000000,0.3
Cloud ,260000000000.00,0.09,120,900000000,0.3
BioTech,170000000000.00,0.14,1200,200000000,0.3
Insurance ,660000000000.00,0.03,770,200000000,0.3
